,ds,cities,y,yhat,yhat_upper,yhat_lower
132,2011-01-01,Belgrade,282.26593,279.2849739287703,282.8473850170267,275.5353507185246
133,2011-02-01,Belgrade,283.72348,282.3452778603926,286.12655327887177,278.80168573073684
134,2011-03-01,Belgrade,285.04202,285.0857801189584,288.7795394444683,281.37265287963226
135,2011-04-01,Belgrade,293.31552,290.64744599936813,294.285121010879,286.8513803308744
136,2011-05-01,Belgrade,295.0264,295.9143862405465,299.534874182435,292.18488404074833
137,2011-06-01,Belgrade,299.56726,301.18766481175135,304.88235518307204,297.49495256094104
138,2011-07-01,Belgrade,305.65396,305.71772309790225,309.2947023589601,302.20740749328405
139,2011-08-01,Belgrade,304.34387,304.53255725997167,308.4271996814065,300.64972782742547
140,2011-09-01,Belgrade,297.5619,299.23775478464313,303.1611388626413,295.57938138202985
141,2011-10-01,Belgrade,287.49402,291.08867601735983,294.7395940549228,287.18197926024334
142,2011-11-01,Belgrade,287.59152,284.5001824403428,287.90927332077933,280.87504303600264
143,2011-12-01,Belgrade,280.1045,281.0541829797098,284.80689403609375,277.6895642258486
144,2012-01-01,Belgrade,278.39267,279.5609196121505,283.42398124630284,275.9379065544545
145,2012-02-01,Belgrade,282.4879,282.3028056049817,285.98301931698916,278.49822066120527
146,2012-03-01,Belgrade,281.51654,285.499218554394,289.3681540895388,281.7115462227395
147,2012-04-01,Belgrade,288.47662,289.742900911702,293.3011662286591,285.9818028957641
148,2012-05-01,Belgrade,295.66208,296.89490427094205,300.79447205245197,293.1982054091761
149,2012-06-01,Belgrade,300.82248,302.08820704232215,305.7159522083959,298.261133000525
150,2012-07-01,Belgrade,307.1699,306.60666651186693,310.4379688241164,303.08714096369084
151,2012-08-01,Belgrade,303.6892,303.129148709061,306.8186965565823,299.718207172647
152,2012-09-01,Belgrade,301.09464,297.7517657312737,301.2937131531226,294.3196876346364
153,2012-10-01,Belgrade,296.44095,293.0544256392449,296.9465605102577,289.1988047078293
154,2012-11-01,Belgrade,286.38684,285.0445132316244,288.36765262274156,281.37819073336084
155,2012-12-01,Belgrade,285.1873,280.3260032388862,283.8795041996859,276.78082909787537
156,2013-01-01,Belgrade,281.8018,279.30858023673824,282.96932778296605,275.69305964404924
157,2013-02-01,Belgrade,283.6303,283.00802555234844,286.5520156690394,279.4153157935412
158,2013-03-01,Belgrade,281.25983,285.551128773697,289.25786215050897,281.93151556635206
159,2013-04-01,Belgrade,289.31995,290.24250181762943,294.0297218182866,286.7023352118717
160,2013-05-01,Belgrade,297.34164,296.7719168629141,300.24504604030557,292.96121971475156
161,2013-06-01,Belgrade,300.01746,301.98258844961185,305.51526739373463,298.31962702984475
162,2013-07-01,Belgrade,307.28967,306.4944225238614,310.23575559847626,302.7097968264843
163,2013-08-01,Belgrade,302.1656,303.78381776426966,307.4993887485945,299.9934245926616
164,2013-09-01,Belgrade,295.03915,298.4571921461877,302.24991030616064,294.6259904383146
165,2013-10-01,Belgrade,296.10565,292.60432827977587,296.56089914724805,288.90608625617256
166,2013-11-01,Belgrade,282.40927,285.0477894145171,288.8797695716823,281.23515608567453
167,2013-12-01,Belgrade,281.73477,280.7579822179867,284.45862155617397,277.14651376491935
168,2014-01-01,Belgrade,,279.5917136891259,283.10295897468427,275.8694067134584
169,2014-02-01,Belgrade,,282.9711505380209,286.94406666424555,279.1744728020772
170,2014-03-01,Belgrade,,285.6086939007773,289.21055723734673,282.0547047962519
171,2014-04-01,Belgrade,,290.73952093576764,294.2109003954018,286.7923083661265
172,2014-05-01,Belgrade,,296.64036964443403,300.5003937623083,293.16511418398454
173,2014-06-01,Belgrade,,301.8776568587278,305.87501785687914,298.2149253616394
174,2014-07-01,Belgrade,,306.3934232780217,310.00601358199043,302.81075109756625
175,2014-08-01,Belgrade,,304.4472073452145,308.03030749158046,300.714989260226
176,2014-09-01,Belgrade,,299.14808161805433,303.0307856133103,295.5988748429571
177,2014-10-01,Belgrade,,292.1442176127922,295.8632514881153,288.429533384498
178,2014-11-01,Belgrade,,285.06160721796124,288.8641522489304,281.264450212331
179,2014-12-01,Belgrade,,281.19618152783636,284.88197498276236,277.7564531493645
180,2015-01-01,Belgrade,,279.87126757647434,283.67655851115774,276.41726783030964
181,2015-02-01,Belgrade,,282.9314025582083,286.48277175832703,278.8932111400486
182,2015-03-01,Belgrade,,285.6719048167714,289.4606406382844,282.22847088641976
183,2015-04-01,Belgrade,,291.233570697183,294.86155376419794,287.4751588079905
184,2015-05-01,Belgrade,,296.5005109383631,300.28404288033835,292.48730891124217
185,2015-06-01,Belgrade,,301.7737895095656,305.4747544231251,298.00622786338596
186,2015-07-01,Belgrade,,306.30384779571784,309.9454773160729,302.3850472325736
187,2015-08-01,Belgrade,,305.11868195779016,308.9316886833218,301.2845446660882
188,2015-09-01,Belgrade,,299.82387948245605,303.3575665078587,296.05146237742997
189,2015-10-01,Belgrade,,291.6748007151755,295.5307179266979,288.08456926249244
190,2015-11-01,Belgrade,,285.0863071381584,288.75486870083483,281.02865252179555
191,2015-12-01,Belgrade,,281.64030767752706,285.5183285410739,278.1459935031676
192,2016-01-01,Belgrade,,280.1470443099654,283.8794477470772,276.4352055751763
193,2016-02-01,Belgrade,,282.88893030279974,286.4712978803848,279.334408915842
194,2016-03-01,Belgrade,,286.08534325220967,289.72097941721705,282.2996771016099
195,2016-04-01,Belgrade,,290.3290256095218,294.1161102906314,286.74946200854856
196,2016-05-01,Belgrade,,297.4810289687598,301.28493985095554,294.00884964275417
197,2016-06-01,Belgrade,,302.67433174013973,306.379894218699,298.8727646268259
198,2016-07-01,Belgrade,,307.1927912096804,311.02031343336006,303.2956815401706
199,2016-08-01,Belgrade,,303.7152734068806,307.4097805282823,300.1226047101166
200,2016-09-01,Belgrade,,298.3378904290865,302.3576651045233,294.533387311661
201,2016-10-01,Belgrade,,293.6405503370632,297.3281398064644,290.0827245926091
202,2016-11-01,Belgrade,,285.6306379294423,289.45793873101445,281.82906136684096
203,2016-12-01,Belgrade,,280.91212793669973,284.5475999777614,277.2863229060074
204,2017-01-01,Belgrade,,279.89470493455383,283.5373942456082,276.1998256678038
205,2017-02-01,Belgrade,,283.5941502501645,287.1039569775174,280.20271128849555
206,2017-03-01,Belgrade,,286.13725347151285,289.8847414223224,282.7218353251909
207,2017-04-01,Belgrade,,290.82862651544536,294.40112134414915,287.16664541550955
208,2017-05-01,Belgrade,,297.35804156072885,300.84408071251806,293.9630492933572
209,2017-06-01,Belgrade,,302.5687131474248,306.22087519721134,298.7819288394204
210,2017-07-01,Belgrade,,307.0805472216769,310.991785135845,303.1678392379246
211,2017-08-01,Belgrade,,304.3699424620841,308.07031164745763,300.4703636847427
212,2017-09-01,Belgrade,,299.0433168440072,302.8033166291823,295.5342744924388
213,2017-10-01,Belgrade,,293.19045297758686,296.89870208077946,289.39788131034743
214,2017-11-01,Belgrade,,285.6339141123356,289.49889558837384,281.7325649722738
215,2017-12-01,Belgrade,,281.3441069158065,285.1407184712518,277.68481411432015
216,2018-01-01,Belgrade,,280.1778383869413,283.98292330386874,276.60419812909316
